class_id,class_name,threshold
0,Aortic enlargement,0.55
1,Atelectasis,0.55
2,Calcification,0.65
3,Cardiomegaly,0.6
4,Consolidation,0.7
5,ILD,0.85
6,Infiltration,0.75
7,Lung Opacity,0.75
8,Nodule/Mass,0.8
9,Other lesion,0.7
10,Pleural effusion,0.8
11,Pleural thickening,0.65
12,Pneumothorax,0.65
13,Pulmonary fibrosis,0.5
