,hamming_accuracy,micro_f1,macro_f1,macro_auc,macro_average_precision,loss
"Validation, threshold 0.5",0.8670295489891136,0.5814685314685315,0.5086173500711034,0.9218489603080179,0.5383963965024643,0.49172524526182265
"Validation, tuned thresholds",0.9031881804043546,0.6234607906675308,0.5516098199277938,0.9218489603080179,0.5383963965024643,
"Test, validation thresholds",0.9001333037102865,0.6091304347826086,0.5275372642349343,0.9186785773543905,0.5446493744866996,0.5054689858972007
