dataset,class,precision,recall,f1,support,accuracy
"Validation, tuned thresholds",At least one finding,0.9101338432122371,0.9407114624505929,0.9251700680272109,506,0.9401244167962675
"Validation, tuned thresholds",No finding,0.9606815203145478,0.9397435897435897,0.950097213220998,780,0.9401244167962675
"Test, validation thresholds",At least one finding,0.9049429657794676,0.9500998003992016,0.9269717624148004,501,0.9416796267496111
"Test, validation thresholds",No finding,0.9671052631578947,0.9363057324840764,0.9514563106796117,785,0.9416796267496111
