,hamming_accuracy,micro_f1,macro_f1,macro_auc,macro_average_precision,loss
"Validation, threshold 0.5",0.8760275494334593,0.590608950843727,0.5119653637188936,0.9230881006146004,0.5471455791198431,0.4951608053540368
"Validation, tuned thresholds",0.9120750944234615,0.6396539949920328,0.5559448669588875,0.9230881006146004,0.5471455791198431,
"Test, validation thresholds",0.9106309708953566,0.6267687311528648,0.5240488384163026,0.9218590823377575,0.5492643552433191,0.5049933441690115
