dataset,class,precision,recall,f1,support,accuracy
"Validation, tuned thresholds",At least one finding,0.8984962406015038,0.9446640316205533,0.9210019267822737,506,0.9362363919129082
"Validation, tuned thresholds",No finding,0.9628647214854111,0.9307692307692308,0.9465449804432855,780,0.9362363919129082
"Test, validation thresholds",At least one finding,0.8825757575757576,0.9301397205588823,0.9057337220602527,501,0.9245723172628305
"Test, validation thresholds",No finding,0.9538258575197889,0.9210191082802548,0.9371354504212572,785,0.9245723172628305
