train_loss,val_loss,val_hamming_accuracy,val_micro_f1,val_macro_f1,val_macro_auc,val_macro_average_precision
0.8262713639026203,0.6167823833588679,0.8280937569429015,0.5013694216207508,0.3900929831954783,0.8705490338828273,0.3836289091020295
0.6428035850863401,0.5700148633256856,0.8248722506109754,0.5133508257447137,0.4190125726419965,0.8882729847870282,0.42002694273370206
0.5998988635459357,0.5521571498080323,0.8286491890690958,0.5204414736514845,0.42592880601478933,0.8962475021094854,0.43960545417391855
0.5625807772753855,0.5380480177294967,0.8297600533214842,0.5238465123504737,0.4290379892078443,0.9015834937252505,0.4532795530815455
0.5433256641524451,0.5292978982903167,0.8389246834036881,0.5368891727882467,0.4441171444514265,0.9056734671915462,0.4697160617107316
0.5273060607544642,0.5169922005889205,0.8459786714063542,0.5432383462362049,0.45429506142358883,0.9091451108734,0.4809142048929786
0.5051310505544796,0.5108128380997926,0.8390913130415463,0.5406690978278105,0.4514961811625416,0.9124933348736907,0.49084680656777185
0.48563984583227104,0.5037849361010325,0.8442568318151522,0.5459844559585493,0.46266191403258394,0.9151409597476633,0.4995607902302944
0.4773997631773832,0.5041344885599929,0.8614752277271718,0.567914067914068,0.47993202202893287,0.9160611119851746,0.5042561355944557
0.4648610072282131,0.49818482610337655,0.8454232392801599,0.5484342041213695,0.47430792372829644,0.9170387407537534,0.50964894553611
0.45190378830365746,0.5028004657424998,0.8721950677627194,0.5827742520398912,0.4928056362911013,0.9176843312495808,0.5174565739076729
0.43678980293501973,0.4911955652489076,0.8572539435680959,0.5660249915569064,0.4803713299190037,0.920081095478333,0.5292471685176169
0.4286968164484891,0.4945116731835005,0.8603643634747834,0.5696679219445395,0.49096306452251653,0.9197766981568432,0.5354291824266442
0.4167539491005449,0.4971873300442614,0.8591979560097756,0.5680695178054184,0.49821681343033103,0.9207402191572772,0.5382928812273079
0.4148265229694209,0.4932697100179563,0.8633636969562319,0.5745416810792113,0.5009852827780858,0.920794104990315,0.5376594855344864
