dataset,class,precision,recall,f1,support,accuracy
"Validation, tuned thresholds",At least one finding,0.9024856596558317,0.932806324110672,0.9173955296404277,506,0.9339035769828927
"Validation, tuned thresholds",No finding,0.9554390563564875,0.9346153846153846,0.9449125081011018,780,0.9339035769828927
"Test, validation thresholds",At least one finding,0.8717472118959108,0.936127744510978,0.9027911453320501,501,0.921461897356143
"Test, validation thresholds",No finding,0.9572192513368984,0.9121019108280255,0.9341161121983039,785,0.921461897356143
