,hamming_accuracy,micro_f1,macro_f1,macro_auc,macro_average_precision,loss
"Validation, threshold 0.5",0.8591979560097756,0.5680695178054184,0.49821681343033103,0.9207402191572772,0.5382928812273079,0.4971873300442614
"Validation, tuned thresholds",0.9100755387691624,0.6304496690253367,0.5465155969845067,0.9207402191572772,0.5382928812273079,
"Test, validation thresholds",0.9074650077760498,0.6189387008234217,0.5272368704411906,0.9176407776960741,0.5393489882120356,0.5076730753733989
