class_id,class_name,threshold
0,Aortic enlargement,0.6
1,Atelectasis,0.6
2,Calcification,0.55
3,Cardiomegaly,0.75
4,Consolidation,0.8
5,ILD,0.8
6,Infiltration,0.7
7,Lung Opacity,0.8
8,Nodule/Mass,0.65
9,Other lesion,0.6
10,Pleural effusion,0.75
11,Pleural thickening,0.7
12,Pneumothorax,0.6
13,Pulmonary fibrosis,0.7
